Universial Residential High school,"Near Shiv Narayan Market - Bypass, J.P.Nager Patna-1",800001,
Prakritik School ,"Gaya line, Jayprakash Nagar Patna (near Sipara pul)",800001,School
Mother Teresa Tiny Tots English School,"Narayan Market, J.P.Nager Patna-1",800001,
Adarsh Vidaya Kendra,"J.P.Nager, Post office GPO, Near Telephone Exchange Patna-1",800001,
S.P. Montesory School,"Chandpur Bela, Pani Tanki, Jakkan Pur Patna -1",800001,
St. John's English school,"Near Pani Tanki, Chandpur Bela, Jakkan Pur Patna",800002,School
Gauri National English School,"Gaya Line, Chandpur Bela, Patna ",800001,
Azad Bharti Public School,"Gaya Line (Near GPO) , side gali of Hans Bhawan, Chandpur Bela Patna",800001,School
DPA Gyanoday ,Chandpur Bela Patna -1,800001,
SNED public school,"Purandarpur gayaline road Near jakkanpur police choki , Patna",800001,School
St. Jr. Memorial Academy ,"B Area, Bengali Road, Mithapur Patna-1",800001,
Azad public school,"Yarpur, Shivaji path, Gardanibagh, patna",800001,School
Rising Star Public High School,Near Balaram Baba Yarpur Patna-1,800001,
St. M.G. High School (Hindi),Yarpur Patna-1,800001,School
Deharadun Public School ,"Neharu Lane Mitthapur B Area,P-1",800001,School
B Mount Convent Academy ,Neharulane 'b' Area Patna-1,800001,
Florida International School,Sundar Bhawan Kunaulal Road Mithapur Patna-1,800001,
Patna public School ,"Ram gobind Singh Path, Jayprakash Nagar, Jakkan Pur, Patna",800001,
C.D.S. Nationals School,"H. No 35, Near Doon Public School, J.P.Nager Patna-1",800001,
Nalanda International school,"Ram Gobind Singh Path, west Jayprakash nagar, Patna",800001,School
Bal Vidaya Niketan ,"H. no 829, West J.P.Nagar, Jakkan Pur ,Patna-1",800001,
Vikash Vidayalaya ,"H. NO. 824, first Floor, J.P.Nager Patna-1",800001,
Kids Arcade,"Bubaneswari Kutir, Vilaspur house, opp Lal Market, Anand Puri Patna-1",800001,
ST. Domnic Savio`s academy,"91 A , Boring Canal Road, Anand Puri Patna-1 (near Panchmikhi Hanuman Mandir)",800001,
jack and jill academy,"Near Brajkunj appartment alok niketan annandpuri, Patna",800001,School
Marshall`s acadmey,"west Boring canal road Building no.2, Patna (near Panchmukhi Hanuman Mandir)",800001,School
Baldwin`s sophia ,"Boaring canal road, Patna",800001,School
St. Paul's Sr.Sec.School,"25 A/b, Sahdeo Mahato Marg,  S.K.Puri Patna-1 (near Bikaner Sweets)",800001,
Shivam Public School,"E 121, Satya Sadan, SK Puri, Boring Road, Patna",800014,
A.V.N.English School,E/11 1st floor Krishna appartment,800001,School
Central Public School,361 Nehru nagar (near HP Gas Godown) Patna,800013,School
St. Christ Kids Academy,"H. No. 41, Nehru Nagar, Near HP Gas Godown, Patna-1",800001,
Masoom school,"340, nehrunagar north HP gas Godown, Patna ",800013,School
Arambhika,"298 Nehru Nagar, Van Vibagh Road, Patna ",800013,
Residential Shanti niketan Public school,"Nehrunagar Opposite van vibhag, Patna",800013,School
Divya Jyoti Gurukul,233/2 Ray ram vriksh path Nehru nagar ,800001,School
A.R. Public School,"Nehru Nagar, road NO. 5 Patna-1",800013,
M.R. public school,"H. NO 505, NehruNagar Patna",800001,School
St. Francis Xavier`s School,519 Nehrunagar patna,800013,School
International school,"AN Path, S K Puri, Patna (near Alpana Market)",800001,School
New Delhi Public School,"SC/23 Mana Singh Lane, North SK Puri, Boring Road Patna-1",800001,
Vikas Residential Public school (adarsh Vikas public School,"1/3 Vivekanand Marg, North S.K Puri, Boring Road, Patna",800001,School
ST. Karen`s High school,"Opp Children Park, S.K Puri, patna",800001,School
Happy High school,Sri Krishna puri Patna,800001,School
Patna Montessori School,"Opposite shalimar studio, Montessori Lane, Boring road",800001,
D.A.V.Public School ,B.S.E.B.Colony New Punaichak P-23,800023,School
Comford Senior Secondary School ,"Rajwansi nagar,Patna",800023,
Kids Garden ,"Shashi Mohini, Sbi Bank Road, New Punaichak,  Rajwansi nagar,Patna",800023,
Mount Glory Academy ,"New Punaichak, Rajwansi nagar,Patna (near state bank)",800023,
G.D. Public School,"Rajwansi Nagar SBI ATM, New Punaichak, Patna",800023,
J.S. Montessori High School ,"Professor Colony, West Shiv Puri, Patna",800023,School
New St. Karen's School ,Near Pump House Punichak P-23,800023,School
B.P.L. Residential Public School,"Mohan Pur, Punichak ,P-23",800023,
Vidaya Niketan ,Rai Bhawan Mohan Pur Punaichak P-23,800023,School
Saraswati Vidayalaya,"Mohan Pur Punichak ,P-23",800023,School
National Public School,Baldev Bhawan Road Mohan Pur Punichak P-23,800023,School
Gratious Academy ,"A/5,Sri Ram Path Punaichak P-23",800023,School
Win Academy,"Mohan Pur, PunaiChak, Patna",800023,
Blooming Birds Academy ,Rajbansi Nagar _P-23,800023,School
East &west Point School ,"Baldeo Bhawan road ,Punai Chak Patna",800023,
Sagar High School ,Punaichak Devi Mandir Road P-23,800023,School
Holy Mission Academy ,"S.K. Puri, B/183, Boring Road, Patna",800001,School
Adarsh Vikash Vidyalaya,"S.K Puri, D-64, Patna",800001,School
RPS residential Public school,c/19 Basawan Path South s.k puri patna,800001,School
New south Point Public school,"M,3 -17 Bsawan Park Shri Krishna puri Patna",800001,School
St. joseph High school (primary),c/19 Basawan Path South s.k puri patna,800001,School
Sambodhi school Of excellence,SK puri opposite krishna appartment,800001,School
New St. Joseph High School,"C-51, Basawan Path, South S.k Puri, Patna",800023,
Prarambhika,Boring Road Patna-1,800001,
Shivam Public School,New punichak boring canal road patna,800001,School
St. john`s High school,"east boring canal road, Patna",800001,
St. Pauls High School,"East Boring Canal Road, Patna-1",800001,
Blossom Nursery School,"East Boring Canal Road, Main road buddha Colony, Patna",800001,School
Baldwin Academy,"East Boring Canal Road, Patna",800001,
Campion Academy ,"Main Road Buddha Colony , Patna",800001,School
St. Paul school,"Buddha Colony,  East Boring Canal Road, Patna",800001,School
Tiny Tot Kids World School ,"Vina Sadan, Buddha Colony, Patna",800001,School
P.D. Public School,"Saryu Sadan, Buddha Colony, Patna",800001,School
R.L Academy,Main road Budha colony Patna,800001,School
A.V Public School,Main road Budha colony Patna,800001,
Little birds Academy,Main road Budha colony Patna,800001,
Akhil vishva gayatri parivar,"North Budha Colony, gaurya sthan, Patna",800001,School
Sant Public school,"Plot no. B/119, Buddha Colony Patna ",800001,School
Camil Bulke School Of Learning,"Nageshwar Colony  Opp. P&T Community Hall, Patna",800013,School
Little Garden School,SK Nagar Patna road no.23,800001,School
St. M.G High School,"Ramuchit Mishara Path, East Boring Canal Road, Patna",800001,
Modern Era junior School,"Sri Ram Path, New Jakkanpur Patna-1",800001,
New kids international school,"H No. 35, New purandarpur shivpath patna (near do pulwa), Jakkan Pur",800001,School
Indian Slums Charity School,"Chapra Colony More, Chandpur Bela, Jakkan Pur, Patna -1",800001,
Sun flower Academy,"Deep Lal Gali, Chandpur Bela, Jakkan Pur, Patna -1",800001,
St. Francis National School,"Indrapuri, New Sipara Patna-20",800002,
Annine Besant Public school,Sipara Patna-20,800001,
