C.D. Mission School,Nur.,5,R.M.S.Coloney Kankarbagh Patna,800020,English and Hindi,Unecognised,Private unaided,Low Cost
J.D.Public School,Nur.,10,"C-46, Housing Coloney Lohiya Nagar Patna",800020,English,Unecognised,Private unaided,Affordable
H.S. Public School,Nur.,10,"C-22, Housing Coloney K.Bagh Patna",800020,English,Unecognised,Private unaided,Higher Cost
Rotary Public High School,Nur.,4,Ashok Nagar Road No.- 3 K.Bagh Patna,800020,English,Recognised,Private unaided,Low Cost
A.N Modern Public School,1,6,Ram krishna nagar east of telephone exchange new jaganpura,800027,English and Hindi,Unecognised,Private unaided,Low Cost
Sarswati Vidya Mandir,Nur.,10,Shastri Nagar Lalbaba Market,0,English,Unecognised,Private unaided,Affordable
ST. Louis Public School,Nur.,5,North Sastri Nagar Patna,800024,English and Hindi,Recognised,Private unaided,Affordable
Novel Elementary School,1,5,"CDA Colony, A.G Colony, Patna",800014,English,Unecognised,Private unaided,Affordable
R.K.Convent High School,Nur.,7,Shekhpura Durga Ashram,800008,English and Hindi,Unecognised,Private unaided,Low Cost
Krishna Murari Public School Sashtri Nagar Patna,Nur.,7,Shastri Nagar Lalbaba Market,800004,English,Unecognised,Private unaided,Low Cost
Vikash Kunj Public High School,Nur.,10,Shastri Nagar Bind Toli,800004,English and Hindi,Unecognised,Private unaided,Low Cost
ST. Vivekanand Vidya Mandir,Nur.,10,Bind Toli Shekhpura Patna,800005,English,Unecognised,Private unaided,Affordable
ST. Gandhi Residential School,1,10,shasri nagar patna,800014,English and Hindi,Recognised,Private unaided,Affordable
G.V.N Public School,Nur.,7,Indrapuri path Saristabad,800001,English,Unecognised,Private unaided,Low Cost
ST. Marry Convent ,Nur.,5,Rajeev Nagar Road No.- 24 Patna,800024,English,Unecognised,Private unaided,Low Cost
Indian Public School,Nur.,8,Rajeev Nagar Road No.- 24 Patna,800024,English,Unecognised,Private unaided,Low Cost
ST. B.D. Public School,1,7,Amrudi Bagicha Digha Patna,800011,Hindi,Unecognised,Private unaided,Low Cost
Srijan School,Nur.,5,Sardar Patel Coloney Near Patliputra Telephone Exchange,800010,English,Unecognised,Private aided,Affordable
Holy faith International School,Nur.,8,Kurji Pool  Patna,800010,English,0,Private aided,Low Cost
Gyan Jyoti Public School,Nur.,8,Digha Ghat Patna,800011,English and Hindi,Unecognised,Private unaided,Low Cost
Acent Public School,Nur.,5,Akhada Road Digha Hatt Patna,800011,English,Unecognised,Private unaided,Low Cost
Navjoyti Academy,Nur.,8,Balupar Kurji Patna,800010,English and Hindi,Unecognised,Private unaided,Low Cost
Hartman Primary School,Nur.,5,Kurji Digha Ghat Patna,800011,English,Unecognised,Private unaided,Affordable
ST. Xaviours School,Nur.,7,Makhdumpur Post Digha Ghat Patna,800011,English and Hindi,Unecognised,Private unaided,Low Cost
ST. Marry Junior School,Nur.,5,Akhada Road Digha Hatt Patna,800011,English,Unecognised,Private unaided,Low Cost
Unique Children Academy,Nur.,5,Digha Post Office Patna,800011,English and Hindi,Unecognised,Private unaided,Low Cost
Holifaith Public School,Nur.,8,Alamganj Gayghat Patna,800007,English,Unecognised,Private unaided,Low Cost
Sun Shine Public School,Nur.,8,Alamganj Chowki Bag Bhup Singh Lane Gulzarbagh Patna,800007,English,Unecognised,Private unaided,Low Cost
Sarvodaya Sainik School,Nur.,6,Gulzarbagh Patna,800007,English,Unecognised,Private unaided,Low Cost
Bal Vidya ucchya Niketan,Nur.,5,Gud ki Mandi Shershah Road Patna,800007,Hindi,Unecognised,Private unaided,Low Cost
Ramanujan Central School,Nur.,4,Bahri Begumpur Akhara par Patna City,800009,English,Unecognised,Private unaided,Low Cost
Sarswati Niketan Madhya Vidyala,Nur.,7,Bahari Begampur Pad Pokhar Patna City,800009,English and Hindi,Recognised,Private unaided,Low Cost
